ID,People,Event,What,hasPredicate,Type,When,Where,Whom
004,Helen,Helen has no money,money,notHave,Situation,,,
056,Helen,Helen talks about Julia and her wedding,wedding ceremony of Julia,say,Situation,,,Julia
067,Helen,Julia's voice was heard on  the day Julia died,voice of Julia,hear,Situation,the day Julia died,Helen’s bedroom,
068,Helen,Helen heard whistle in the corridor on the day Julia died,whistle,hear,Situation,the day Julia died,corridor,
069,Helen,Helen heard the metal sound on the day Julia died,metallic sound,hear,Situation,the day Julia died,corridor,
074,Helen,Helen supported Julia on the day Julia died,Julia,support,Situation,the day Julia died,,
080,Helen,Helen called Roylott on the day Julia died,Roylott,call,Situation,the day Julia died,,
118,Helen,Last night at midnight Helen heard a low whistle.,whistle,hear,Situation,last night,Julia’s bedroom,
120,Helen,Helen turned on the lamp.,lamp,turnOn,Situation,,Julia’s bedroom,
121,Helen,Nothing was found in Julia’s bedroom.,something,cannotFind,Situation,,Julia’s bedroom,
122,Helen,Helen has changed clothes.,clothes,wear,Situation,,Julia’s bedroom,
124,Helen,Helen asked for a motorcycle at the Crown Inn.,two-wheeled coach,call,Situation,,Crown Inn,
146,Helen,Helen and Julia can receive an annual salary of £ 250 per person when married.,250 GBP,receive,Situation,,,
187,Helen,Helen closed the gates,shutter,close,Situation,,,
188,Helen,Helen locked the bedroom.,Julia’s bedroom,lock,Situation,,,
289,Helen,Helen sent a signal to Holmes at eleven o'clock.,signal,send,Situation,eleven o'clock,,Holmes
394,Helen,Helen heard the metal sounds.,metallic sound,hear,Situation,,,
140,Holmes,Holmes did not respond to Roylott's question.,question of Roylott,notRespond,Situation,,,Roylott
142,Holmes,Holmes has seen the will of Helen's mother.,will of mother of Helen,read,Situation,,,
143,Holmes,Holmes calculated the current price of the invested capital involved.,price of asset of mother of Helen,calculate,Situation,,,
150,Holmes,Holmes and Watson got off the coach.,coach,getOff,Situation,,mansion of Roylott,
171,Holmes,Holmes investigates the window of the mansion from the outside.,window of mansion of Roylott,examine,Situation,,garden,
189,Holmes,Holmes carefully observed the vacant window.,window of Julia’s bedroom,examine,Situation,,,
190,Holmes,Holmes failed to forcibly open the fortress from the outside.,shutter,cannotOpen,Situation,,,
208,Holmes,Holmes observed every corner of the bedroom,Julia’s bedroom,lookAround,Situation,,,
213,Holmes,Holmes confirmed the floor.,floor of Julia’s bedroom,confirm,Situation,,,
