ID,People,Event,What,hasPredicate,Type
http://kgc.knowledge-graph.jp/data/SpeckledBand/004,Helen,Helen has no money,money,notHave,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/056,Helen,Helen talks about Julia and her wedding,wedding ceremony of Julia,say,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/067,Helen,Julia's voice was heard on  the day Julia died,voice of Julia,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/068,Helen,Helen heard whistle in the corridor on the day Julia died,whistle,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/069,Helen,Helen heard the metal sound on the day Julia died,metallic sound,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/074,Helen,Helen supported Julia on the day Julia died,Julia,support,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/080,Helen,Helen called Roylott on the day Julia died,Roylott,call,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/118,Helen,Last night at midnight Helen heard a low whistle.,whistle,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/120,Helen,Helen turned on the lamp.,lamp,turnOn,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/121,Helen,Nothing was found in Julia’s bedroom.,something,cannotFind,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/122,Helen,Helen has changed clothes.,clothes,wear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/124,Helen,Helen asked for a motorcycle at the Crown Inn.,two-wheeled coach,call,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/146,Helen,Helen and Julia can receive an annual salary of £ 250 per person when married.,250 GBP,receive,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/187,Helen,Helen closed the gates,shutter,close,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/188,Helen,Helen locked the bedroom.,Julia’s bedroom,lock,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/289,Helen,Helen sent a signal to Holmes at eleven o'clock.,signal,send,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/394,Helen,Helen heard the metal sounds.,metallic sound,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/140,Holmes,Holmes did not respond to Roylott's question.,question of Roylott,notRespond,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/142,Holmes,Holmes has seen the will of Helen's mother.,will of mother of Helen,read,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/143,Holmes,Holmes calculated the current price of the invested capital involved.,price of asset of mother of Helen,calculate,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/150,Holmes,Holmes and Watson got off the coach.,coach,getOff,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/171,Holmes,Holmes investigates the window of the mansion from the outside.,window of mansion of Roylott,examine,Situation
