ID,People,Event,Where,hasPredicate,Type
http://kgc.knowledge-graph.jp/data/SpeckledBand/008,Helen,Helen lives with Roylott,mansion of Roylott,live,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/041,Helen,Helen lives on the first floor of one of the buildings,first floor of one building of mansion of Roylott,live,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/067,Helen,Julia's voice was heard on  the day Julia died,Helen’s bedroom,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/068,Helen,Helen heard whistle in the corridor on the day Julia died,corridor,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/069,Helen,Helen heard the metal sound on the day Julia died,corridor,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/081,Helen,"On the day Julia died, Helen met Roylott in the corridor",corridor,meet,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/117,Helen,Helen looked horrible last night.,Julia’s bedroom,scare,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/118,Helen,Last night at midnight Helen heard a low whistle.,Julia’s bedroom,hear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/119,Helen,Helen jumped up.,Julia’s bedroom,wakeUp,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/120,Helen,Helen turned on the lamp.,Julia’s bedroom,turnOn,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/121,Helen,Nothing was found in Julia’s bedroom.,Julia’s bedroom,cannotFind,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/122,Helen,Helen has changed clothes.,Julia’s bedroom,wear,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/124,Helen,Helen asked for a motorcycle at the Crown Inn.,Crown Inn,call,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/128,Helen,Helen visit Holmes this morning.,Leatherhead station,visit,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/150,Holmes,Holmes and Watson got off the coach.,mansion of Roylott,getOff,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/152,Holmes,Holmes met with Helen as promised.,mansion of Roylott,meet,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/169,Holmes,Holmes walked around the lawn,garden,wander,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/171,Holmes,Holmes investigates the window of the mansion from the outside.,garden,examine,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/207,Holmes,Holmes sat on a chair.,Julia’s bedroom,sit,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/207,Holmes,Holmes sat on a chair.,chair,sit,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/269,Holmes,Holmes and Watson are in the Crown Inn.,Crown Inn,exist,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/270,Holmes,Holmes and Watson can see the mansion of Stoke Moran from the Crown Inn.,Crown Inn,see,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/291,Holmes,Holmes and Watson kept quiet.,Julia’s bedroom,keep,Situation
http://kgc.knowledge-graph.jp/data/SpeckledBand/292,Holmes,Holmes and Watson turn off the lights.,Julia’s bedroom,turnOff,Situation
